Browser,Timestamp,Power(mW)
Safari,1749548652,5600
Safari,1749548653,4308
Safari,1749548654,526
Safari,1749548655,2232
Safari,1749548656,5744
Safari,1749548657,10551
Safari,1749548658,4628
Safari,1749548659,823
Safari,1749548660,6105
Safari,1749548661,5031
Safari,1749548662,7265
Safari,1749548663,905
Safari,1749548664,6322
Safari,1749548665,266
Safari,1749548666,89
Safari,1749548667,311
Safari,1749548668,2239
Safari,1749548669,110
Safari,1749548670,57
Safari,1749548671,82
Safari,1749548672,562
Safari,1749548673,456
Safari,1749548674,65
Safari,1749548675,68
Safari,1749548676,1923
Safari,1749548677,1258
Safari,1749548678,520
Safari,1749548679,546
Safari,1749548680,1118
Safari,1749548681,4139
Safari,1749548682,3511
Safari,1749548683,249
Safari,1749548684,89
Safari,1749548686,658
Safari,1749548687,207
Safari,1749548688,67
Safari,1749548689,44
Safari,1749548690,695
Safari,1749548691,499
Safari,1749548692,234
Safari,1749548693,117
Safari,1749548694,2815
Safari,1749548695,1026
Safari,1749548696,1076
Safari,1749548697,952
Safari,1749548698,1598
Safari,1749548699,5104
Safari,1749548700,4583
Safari,1749548701,8011
Safari,1749548702,2608
Safari,1749548703,3006
Safari,1749548704,1868
Safari,1749548705,7746
Safari,1749548706,2569
Safari,1749548707,3935
Safari,1749548708,319
Safari,1749548709,125
Safari,1749548710,68
Safari,1749548711,540
Safari,1749548712,257
Safari,1749548713,277
Safari,1749548714,132
Safari,1749548715,354
Safari,1749548716,410
Safari,1749548717,177
Safari,1749548718,60
Safari,1749548719,121
Safari,1749548720,925
Safari,1749548721,553
Safari,1749548722,534
Safari,1749548723,614
Safari,1749548724,978
Safari,1749548725,680
Safari,1749548726,367
Safari,1749548728,58
Safari,1749548729,435
Safari,1749548730,210
Safari,1749548731,94
Safari,1749548732,179
Safari,1749548733,362
Safari,1749548734,502
Safari,1749548735,286
Safari,1749548736,90
Safari,1749548737,205
Safari,1749548738,3615
Safari,1749548739,1157
Safari,1749548740,631
Safari,1749548741,832
Safari,1749548742,466
Safari,1749548743,498
Safari,1749548744,388
Safari,1749548745,873
Safari,1749548746,281
Safari,1749548747,599
Safari,1749548748,344
Safari,1749548749,872
Safari,1749548750,313
Safari,1749548751,349
Safari,1749548752,282
Safari,1749548753,830
Safari,1749548754,434
Safari,1749548755,436
Safari,1749548756,389
Safari,1749548757,895
Safari,1749548758,358
Safari,1749548759,328
Safari,1749548760,343
Safari,1749548761,914
Safari,1749548762,290
Safari,1749548763,273
Safari,1749548764,448
Safari,1749548765,919
Safari,1749548766,458
Safari,1749548767,298
Safari,1749548769,341
Safari,1749548770,808
Brave,1749548800,2560
Brave,1749548801,700
Brave,1749548802,670
Brave,1749548803,1403
Brave,1749548804,3065
Brave,1749548805,1668
Brave,1749548806,790
Brave,1749548807,906
Brave,1749548808,4646
Brave,1749548809,3595
Brave,1749548810,2870
Brave,1749548811,933
Brave,1749548812,1815
Brave,1749548813,3597
Brave,1749548814,1232
Brave,1749548815,473
Brave,1749548816,1101
Brave,1749548817,496
Brave,1749548818,615
Brave,1749548819,1394
Brave,1749548820,1254
Brave,1749548821,1151
Brave,1749548822,408
Brave,1749548824,360
Brave,1749548825,661
Brave,1749548826,998
Brave,1749548827,569
Brave,1749548828,399
Brave,1749548829,553
Brave,1749548830,1496
Brave,1749548831,8293
Brave,1749548832,276
Brave,1749548833,66
Brave,1749548834,460
Brave,1749548835,124
Brave,1749548836,71
Brave,1749548837,321
Brave,1749548838,461
Brave,1749548839,414
Brave,1749548840,164
Brave,1749548841,123
Brave,1749548842,942
Brave,1749548843,314
Brave,1749548844,162
Brave,1749548845,123
Brave,1749548846,458
Brave,1749548847,1903
Brave,1749548848,672
Brave,1749548849,545
Brave,1749548850,47
Brave,1749548851,2534
Brave,1749548852,2287
Brave,1749548853,5387
Brave,1749548854,240
Brave,1749548855,752
Brave,1749548856,1184
Brave,1749548857,877
Brave,1749548858,62
Brave,1749548859,309
Brave,1749548860,247
Brave,1749548861,206
Brave,1749548862,103
Brave,1749548863,356
Brave,1749548865,169
Brave,1749548866,55
Brave,1749548867,262
Brave,1749548868,339
Brave,1749548869,1007
Brave,1749548870,495
Brave,1749548871,547
Brave,1749548872,524
Brave,1749548873,986
Brave,1749548874,399
Brave,1749548875,86
Brave,1749548876,41
Brave,1749548877,392
Brave,1749548878,174
Brave,1749548879,98
Brave,1749548880,112
Brave,1749548881,329
Brave,1749548882,417
Brave,1749548883,1277
Brave,1749548884,58
Brave,1749548885,650
Brave,1749548886,440
Brave,1749548887,231
Brave,1749548888,112
Brave,1749548889,117
Brave,1749548890,183
Brave,1749548891,164
Brave,1749548892,249
Brave,1749548893,115
Brave,1749548894,104
Brave,1749548895,205
Brave,1749548896,130
Brave,1749548897,207
Brave,1749548898,99
Brave,1749548899,104
Brave,1749548900,105
Brave,1749548901,112
Brave,1749548902,176
Brave,1749548903,158
Brave,1749548904,80
Brave,1749548905,101
Brave,1749548906,236
Brave,1749548908,208
Brave,1749548909,99
Brave,1749548910,106
Brave,1749548911,93
Brave,1749548912,94
Brave,1749548913,179
Brave,1749548914,192
Brave,1749548915,98
Brave,1749548916,107
Brave,1749548917,207
Brave,1749548918,133
